Adam 	﻿A Dong 
Fine eyebrows, beautiful eyebrows 	Nga mi 
Russian 	Nga văn 
Throne 	Ngai 
Throne 	Ngai rồng 
Throne 	Ngai vàng 
Swan, wild goose 	Ngan 
Across, horizontal, through; level, equal 	Ngang 
Obstinate, self-willed 	Ngang bướng 
Offensive, shocking 	Ngang chướng 
Lose one’s appetite 	Ngang dạ 
Do something in one’s own sweet time way 	Ngang dọc 
At par 	Ngang giá 
Equal, of the same rank 	Ngang hàng 
Equal to, on the same level as 	Ngang hàng với 
Horizontal, from side to side 	Ngang hông 
Perverse 	Ngang ngược 
Wayward, unruly 	Ngang ngạng 
Unruly and perverse 	Ngang ngổ 
Topsy-turvy 	Ngang ngửa 
Equal, uniform, same; at the same height, level 	Ngang nhau 
Inconsiderate; rudely, arrogantly 	Ngang nhiên 
Utterly absurd 	Ngang phè 
Absurd, unreasonable 	Ngang tai 
Absurd 	Ngang trái 
Rude, inconsiderate, arrogant 	Ngang tàng 
Keep pace with 	Ngang tầm 
To keep pace with the age 	Ngang tầm thời đại 
Illegal, illicit 	Ngang tắt 
At shoulder height, across one’s chest, person of the same age or generation, peer; on a par with, on an equal footing 	Ngang vai 
Be equal in score 	Ngang điểm 
1 oyster, shell; 2 to roam 	Ngao 
To travel, roam, stroll about, wander about for pleasure 	Ngao du 
Discouraged, disappointed, depressed 	Ngao ngán 
Crunch 	Ngau ngáu 
Crispy, crunchy of chewing food 	Ngau nháu 
Immediately, at once, right away; to be straight, righteous, honest, exact 	Ngay 
Right now, at this very moment 	Ngay bây giờ 
Even 	Ngay cả 
Even while doing sth 	Ngay cả trong lúc 
Even me 	Ngay cả tôi 
As soon as, just, right at the time when 	Ngay khi 
Right now, right at that moment 	Ngay lúc này 
At that very moment 	Ngay lúc ấy 
Be a lazy-bones 	Ngay lưng 
Immediately, at once, right away 	Ngay lập tức 
Stunned into silence 	Ngay mặt 
Be on tenterhooks 	Ngay ngáy 
Neat, tidy 	Ngay ngắn 
Directly in front of 	Ngay phía trước 
Immediately after, following 	Ngay sau 
Immediately after, following 	Ngay sau khi 
Immediately thereafter, afterwards; the following day, the next day 	Ngay sau đó 
Virtuous, righteous, loyal and kind, sincere 	Ngay thảo 
Sincere, honest, candid 	Ngay thật 
Straightforward, honest 	Ngay thẳng 
Even within, right inside of 	Ngay trong 
Even in modern times 	Ngay trong thời hiện đại 
Right in, on 	Ngay trên 
Directly in front of 	Ngay trước 
Directly in front of 	Ngay trước mặt 
First thing the next morning 	Ngay từ sáng bữa sau 
Right from the beginning, from the very beginning 	Ngay từ đầu 
Straight in, directly at, right into 	Ngay vào 
This very night 	Ngay đêm nay 
Stiff, stark 	Ngay đơ 
To surrender, yield, give in 	Ngay đầu 
To hear, listen, feel, obey 	Nghe 
To ausculate 	Nghe bệnh 
To listen carefully 	Nghe cho kỹ 
It seems 	Nghe chừng 
To hear vaguely 	Nghe hơi 
To hear the whole story 	Nghe hết câu chuyện 
To not hear clearly 	Nghe không rõ 
To hear told 	Nghe kể 
To listen carefully 	Nghe kỹ 
To eavesdrop, listen to secretly 	Nghe lén 
To hear wrong, hear incorrectly 	Nghe lầm 
Overhear 	Nghe lỏm 
To hear wrong, mishear 	Nghe lộn 
To listen to, comply with advice, obey 	Nghe lời 
To hear vaguely 	Nghe mang máng 
On the lookout; to follow eagerly, follow expectantly 	Nghe ngóng 
Audiovisual 	Nghe nhìn 
It seems 	Nghe như 
Hearing this 	Nghe như thế 
To be all Greek to someone 	Nghe như vịt nghe sấm 
To listen to music 	Nghe nhạc 
To obey one’s parents’ word 	Nghe nhời bố mẹ 
It is said that, other people say 	Nghe nói 
Understand, listen to reason 	Nghe ra 
To hear clearly 	Nghe rõ 
Listen to lecture, take course 	Nghe sách 
Listen and obey, obey, take somebody’s advice 	Nghe theo 
To hear any more 	Nghe thêm 
To hear as a result of listening 	Nghe thấy 
Hearing this, having heard this 	Nghe thế 
To hear the news 	Nghe tin 
To know by name; to hear the sound of 	Nghe tiếng 
A clang of bell was heard at the gate 	Nghe tiếng chuông keng ngoài cửa 
To hear the sound of ringing 	Nghe tiếng chuông reo 
To hear the sound of knocking 	Nghe tiếng gõ 
To hear the sound of a shot 	Nghe tiếng nổ 
To hear a gunshot 	Nghe tiếng súng nổ 
To hear a rumor 	Nghe tiếng đồn 
To hear on the phone 	Nghe trong điện thoại 
To eavesdrop, bug, wiretap 	Nghe trộm 
Listen to me carefully 	Nghe tôi cho kỹ 
To hear vaguely 	Nghe tăm 
To hear sth 	Nghe tới 
To finish listening 	Nghe xong 
It is said that, it is rumored that 	Nghe đâu 
Good, acceptable, reasonable; audible, distinct, perceptible 	Nghe được 
To hear a rumor 	Nghe đồn 
Used at the end of imperative sentences hear me? 	Nghe! 
1 air, manner; 2 to be suitable; 3 to doubt, suspect, become suspicious 	Nghi 
Troops massed for deceiving the enemy, diversionary tactics 	Nghi binh 
Suspect in a crime 	Nghi can 
Bearing, manners 	Nghi dung 
Take care of one’s husband’s business 	Nghi gia 
Doubt, be in doubt 	Nghi hoặc 
To distrust, suspect; distrust, suspicion; suspicious 	Nghi kỵ 
Rites, rituals, ceremony ceremonies, protocols 	Nghi lễ 
Alter-curtain 	Nghi môn 
Doubtful and difficult 	Nghi nan 
Whirl up, spiral up, of smoke rise in curls 	Nghi ngút 
To suspect someone of a crime 	Nghi người nào phạm tội 
Be reluctant to do something because still in doubt 	Nghi ngại 
To doubt, be suspicious of, suspect 	Nghi ngờ 
Suspect in a crime 	Nghi phạm 
Prime suspect 	Nghi phạm chính 
Department, protocol, ceremony, rights, form, formality 	Nghi thức 
Rites, ceremonials 	Nghi tiết 
Disguise 	Nghi trang 
Honor guard 	Nghi trượng 
Question, interrogate 	Nghi vấn 
With pomp and ceremony 	Nghi vệ 
Doubtful legal case 	Nghi án 
To look sideways; receive, greet, meet 	Nghinh 
To intercept one’s enemy 	Nghinh chiến 
Meet the emperor 	Nghinh giá 
Meet the bride 	Nghinh hôn 
Haughty, arrogant 	Nghinh ngang 
Welcome something new, receive visitors 	Nghinh tân 
Welcome something new, receive visitors 	Nghinh tống 
Welcome spring 	Nghinh xuân 
Face the enemy 	Nghinh địch 
Grave, strict, severe, stern, solemn; Attention! 	Nghiêm 
Strict upright, strict honest 	Nghiêm chính 
Serious, correct, strict 	Nghiêm chỉnh 
Strict, rigorous 	Nghiêm cách 
To forbid, prohibit 	Nghiêm cấm 
Solemnly respectful 	Nghiêm cẩn 
Father’s admonishment, father’s recommendation 	Nghiêm huấn 
Severe, stern, hard 	Nghiêm khắc 
Strict order 	Nghiêm lệnh 
Strict and clear, no-nonsense 	Nghiêm minh 
Stern, severe, strict 	Nghiêm mật 
Solemn, grave 	Nghiêm nghị 
Strict, vigilant, stringent 	Nghiêm ngặt 
Strict, vigilant 	Nghiêm nhặt 
Father 	Nghiêm phụ 
Father 	Nghiêm quân 
Strict teacher 	Nghiêm sư 
Solemn, serious, grave 	Nghiêm trang 
To punish harshly, punish severely 	Nghiêm trị 
Serious, grave, critical 	Nghiêm trọng 
More importantly, more seriously 	Nghiêm trọng hơn 
Serious, diligent, disciplined 	Nghiêm túc 
Father and mother 	Nghiêm từ 
Father 	Nghiêm đường 
1 grind into fine pieces, investigate, study; 2 inkstone 	Nghiên 
To do research, study, investigate; study, investigation, research 	Nghiên cứu 
Asian studies 	Nghiên cứu châu Á 
Researcher, scientist 	Nghiên cứu gia 
Scientific research 	Nghiên cứu khoa học 
Feasibility study 	Nghiên cứu khả thi 
Reinvestigate 	Nghiên cứu lại 
Post-graduate 	Nghiên cứu sinh 
Animal research 	Nghiên cứu sử dụng súc vật 
Market research 	Nghiên cứu thị trường 
The research was thoroughly carried out 	Nghiên cứu đã thực hiện chu đáo 
To lean, tilt, slope, incline, slant 	Nghiêng 
Become fond of 	Nghiêng lòng 
To lean, bend, stoop, bow 	Nghiêng mình 
Slightly slanted 	Nghiêng nghiêng 
To lean oneself forward 	Nghiêng người tới trước 
Veer, oscillate 	Nghiêng ngả 
Fluctuating, vacillating, undecided-full of hardships 	Nghiêng ngửa 
Perk up the ears 	Nghiêng tai 
To lean towards 	Nghiêng về 
To lean towards a theory 	Nghiêng về giả thiết 
To slant downwards, tilt down 	Nghiêng xuống 
Intricate, involved 	Nghiêu khê 
To grind, grit, gnash 	Nghiến 
To grind one’s teeth, clench one’s teeth 	Nghiến răng 
Photographer 	Nghiếp ảng gia 
Photography 	Nghiếp ảnh 
To ponder, reflect, think on 	Nghiềm ngẫm 
To crush, pound, grind 	Nghiền 
To reflect, ponder, brood over 	Nghiền ngẫm 
To ponder a question 	Nghiền ngẫm một vấn đề 
To brood over one’s misfortune 	Nghiền ngẫm nỗi bất hạnh của mình 
To crush 	Nghiền nát 
To grind something to dust 	Nghiền vật gì thành bột 
1 unruffled, imperturbable; 2 without much fuss, without ado; 3 suddenly, all of a sudden 	Nghiễm nhiên 
Consider 	Nghiệm 
Proof, test 	Nghiệm pháp 
To conclude, draw conclusions, come to a conclusion 	Nghiệm ra 
To check and take over, put into operation; operational startup 	Nghiệm thu 
Startup test run 	Nghiệm thu chạy thử 
Real root 	Nghiệm thực 
Addict; be addicted to 	Nghiện 
To be addicted to strong tea 	Nghiện chè 
Addicted to marijuana 	Nghiện cần sa 
Addict drug 	Nghiện hút 
Drug addict 	Nghiện hút ma túy 
Drug addiction 	Nghiện ma túy 
Addict, addiction 	Nghiện ngập 
Drug addiction 	Nghiện ngập ma túy 
Alcoholism, alcohol addiction; addicted to alcohol 	Nghiện rượu 
To be an opium addict 	Nghiện thuốc phiện 
Trade, profession; karma 	Nghiệp 
Retribution by karma, karma 	Nghiệp báo 
Karma 	Nghiệp chướng 
Owner of an estate, property owner, proprietor, holder 	Nghiệp chủ 
Originally so 	Nghiệp dĩ 
Amateur, dilettantish, non-professional, unprofessional 	Nghiệp dư 
The farming profession 	Nghiệp nông 
Martial arts 	Nghiệp võ 
Professional competence or knowledge, specialist skill or knowledge 	Nghiệp vụ 
Labor union, trade union 	Nghiệp đoàn 
Worker’s union 	Nghiệp đoàn công nhân 
Labor union 	Nghiệp đoàn lao động 
1 holder of doctor’s degree in Sino-Vietnamese classics; 2 small roadside temple 	Nghè 
Poor, needy; poverty 	Nghèo 
Poor 	Nghèo hèn 
Poor, needy, wretched, miserable; abject poverty 	Nghèo khó 
Poor, miserable 	Nghèo khổ 
In strained circumstances, hard up 	Nghèo ngặt 
Destitute, poverty-stricken, miserable 	Nghèo nàn 
Poor, needy 	Nghèo túng 
To be weak, feeble 	Nghèo yếu 
Poverty and hunger; poor and hungry 	Nghèo đói 
Buffalo calf 	Nghé 
Peep, glance 	Nghé mắt 
To have morning sickness 	Nghén 
Very 	Nghét 
Lion’s club, small lion as a decoration on top of pillars or incense-burners 	Nghê 
Rainbow, colored clothes 	Nghê thường 
Haughty, arrogant 	Nghên ngang 
1 to look round, look about one; 20 to welcome 	Nghênh 
Offer battle 	Nghênh chiến 
Welcome the king 	Nghênh giá 
Go to the bride’s house and escort her to the bridegroom’s 	Nghênh hôn 
Swaggering 	Nghênh ngang 
Cocky 	Nghênh ngáo 
Welcome and entertain 	Nghênh tiếp 
To welcome and entertain solemnly a guest of honor 	Nghênh tiếp trọng thể một đơn vị khách quý 
To welcome a guest 	Nghênh tân 
Welcome and see off, meet and see off 	Nghênh tống 
Welcome spring in 	Nghênh xuân 
To welcome 	Nghênh đón 
Wait for and engage the enemy 	Nghênh địch 
Sing, recite disconnected phrases for one’s own entertainment 	Nghêu 
Hum, croon, sing to oneself 	Nghêu ngao 
Loyalty, constancy 	Nghì 
Thousand 	Nghìn 
Far-away, very far 	Nghìn dặm 
Millennium, one thousand years 	Nghìn năm 
For ever 	Nghìn thu 
A thousand leagues, very far a away 	Nghìn trùng 
From time immemorial 	Nghìn xưa 
Eternal 	Nghìn đời 
Move one’s fingers nimbly 	Nghí ngoáy 
To think 	Nghĩ 
Think to oneself 	Nghĩ bụng 
To be on summer vacation 	Nghĩ hè 
To not be able to figure out 	Nghĩ không ra 
To think that 	Nghĩ là 
No sooner said than done 	Nghĩ là làm 
To reconsider, rethink, have second thoughts, think back on 	Nghĩ lại 
To think incorrectly, be mistaken 	Nghĩ lầm 
To ponder over, consider carefully, worry about 	Nghĩ ngợi 
To puzzle one's brains 	Nghĩ nát óc 
To think out, figure out 	Nghĩ ra 
To think of something, have an idea 	Nghĩ ra một chuyện 
To think up something else, come up with another idea 	Nghĩ ra một chuyện khác 
To think of a plan, come up with a plan 	Nghĩ ra một kế hoạch 
To think that 	Nghĩ rằng 
To think how, think what about 	Nghĩ sao 
To think silently 	Nghĩ thầm 
To think that way 	Nghĩ thế 
To think that, think about 	Nghĩ tới 
To think idly 	Nghĩ vẩn vơ 
To think that way, think thus 	Nghĩ vậy 
To think about 	Nghĩ đến 
To think of a plan, come up with a plan 	Nghĩ đến một cái kế 
To think about that 	Nghĩ đến đó 
Sense, meaning; justice 	Nghĩa 
Figurative meaning, figurative sense 	Nghĩa bóng 
Loyal servant 	Nghĩa bộc 
Good deep, magnanimous deep 	Nghĩa cử 
Loyal and courageous; voluntary, free will 	Nghĩa dũng 
Chivalrous, knightly 	Nghĩa hiệp 
Adopted older brother 	Nghĩa huynh 
Narrow meaning, literal meaning 	Nghĩa hẹp 
Sense of justice, will to do good, disposition to do good 	Nghĩa khí 
That is to say, that means 	Nghĩa là 
Moral principle, reason, meaning, sense 	Nghĩa lý 
Mother by adoption, foster-mother, adoptive mother 	Nghĩa mẫu 
Daughter by adoption, foster-daughter 	Nghĩa nữ 
Father by adoption, foster-father 	Nghĩa phụ 
Hold a charity drive 	Nghĩa quyên 
Insurgent troops, insurgent army 	Nghĩa quân 
Broad sense 	Nghĩa rộng 
Self-denying person, righteous man 	Nghĩa sĩ 
Relief grain fund, public storehouse 	Nghĩa thương 
Public school, school free of change 	Nghĩa thục 
Cemetery, burial-ground, churchyard, graveyard 	Nghĩa trang 
Sentimental attachment 	Nghĩa tình 
Adopted child, foster child, adopted son or daughter 	Nghĩa tử 
Duty, obligation 	Nghĩa vụ 
Military obligations or duties, military service 	Nghĩa vụ quân sự 
Literal meaning, literal sense 	Nghĩa đen 
Younger brother by adoption, foster-brother 	Nghĩa đệ 
Cemetery, burial ground, grave yard 	Nghĩa địa 
Choked, strangled 	Nghẹn 
Be struck dumb with emotion 	Nghẹn lời 
To be choked by tears 	Nghẹn ngào 
Too tight, strangling 	Nghẹt 
To sniffle, snuffle 	Nghẹt mũi 
Nearly strangled, suffocated 	Nghẹt thở 
To kick the bucket 	Nghẻo 
To block 	Nghẽn 
Thrombosis 	Nghẽn mạch 
Jade 	Nghẽo 
Look bewildered, look puzzled; look up 	Nghếch 
To look up at bunch of fruit on a tree 	Nghếch chùm quả trên cây 
Look up 	Nghếch mắt 
Puzzled, bewildered 	Nghếch ngác 
Occupation, calling, trade, craft, profession, work, craft 	Nghề 
A dishonest profession 	Nghề bất lương 
Primary occupation, profession 	Nghề chính 
Entertainment, pleasure 	Nghề chơi 
Printing as a craft or profession 	Nghề in 
Deep-sea fishing, offshore fishing 	Nghề khơi 
Inshore fishing 	Nghề lộng 
Clothing trade, garment industry 	Nghề may mặc 
